date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,sentiment_strength,sentiment_w,sentiment_applied
2026-05-13,2026-05-14T02:32:07.071536+00:00,5107199,Daniss Jenkins,DET,ast,OVER,1.5,230,0.30303030303030304,0.36840062805475204,0.7388324698599633,0.065370325024449,0.21572207258068166,draftkings,DraftKings,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,3992,James Harden,CLE,ast,OVER,4.5,182,0.3546099290780142,0.4196158479458161,0.7879827215300267,0.06500591886780188,0.1833166912072014,williamhill_us,Caesars,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,4066328,Jarrett Allen,CLE,ast,OVER,1.5,360,0.21739130434782608,0.2557848180973266,0.4733480626778295,0.038393513749500535,0.1766101632477024,draftkings,DraftKings,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,6440,Tobias Harris,DET,ast,OVER,2.5,420,0.19230769230769232,0.21633016291224505,0.3524574963380438,0.02402247060455273,0.12491684714367435,draftkings,DraftKings,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,3992,James Harden,CLE,ast,OVER,3.5,-175,0.6363636363636364,0.6736323601099489,0.8848217946723862,0.037268723746312515,0.0585651373156339,draftkings,DraftKings,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,4432158,Evan Mobley,CLE,ast,UNDER,7.5,-180,0.6428571428571429,0.6799422875570035,0.8900914408562137,0.03708514469986057,0.05768800286644987,draftkings,DraftKings,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,3992,James Harden,CLE,ast,OVER,3.5,-180,0.6428571428571429,0.6791518406294293,0.8848217946723862,0.036294697772286444,0.056458418756890116,fanduel,FanDuel,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,4432158,Evan Mobley,CLE,ast,UNDER,7.5,-188,0.6527777777777778,0.6883748272395431,0.8900914408562137,0.03559704946176534,0.05453165023930012,fanduel,FanDuel,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,3908809,Donovan Mitchell,CLE,ast,OVER,2.5,162,0.3816793893129771,0.40017840981397795,0.5050061926529827,0.01849902050100083,0.0484674337126223,fanduel,FanDuel,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,4684742,Ausar Thompson,DET,ast,UNDER,5.5,-210,0.6774193548387096,0.7012571143091102,0.8363377513080464,0.023837759470400566,0.035189073503924584,fanduel,FanDuel,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,3908809,Donovan Mitchell,CLE,ast,OVER,2.5,124,0.44642857142857145,0.45521521461223313,0.5050061926529827,0.00878664318366168,0.019682080731402207,draftkings,DraftKings,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,4432166,Cade Cunningham,DET,ast,OVER,8.5,150,0.4,0.4024086574630233,0.4160577164201551,0.002408657463023267,0.0060216436575581955,bovada,Bovada,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
2026-05-13,2026-05-14T02:32:07.071536+00:00,4432166,Cade Cunningham,DET,ast,OVER,7.5,-128,0.5614035087719298,0.5633778625010862,0.5745658669663063,0.0019743537291564417,0.003516817580059839,fanduel,FanDuel,2026-05-14T00:14:16Z,Detroit Pistons,Cleveland Cavaliers,,,False
